Global_ID,Cases,Cases_ID,Angle,Vertical_Steps_Section,Horizontal_Steps_Plan,Balcony_Steps,PV_Canopy_Steps,Vertical_Louvre_Steps,sDA,ASE,UDI_Middle,UDI_Low,UDI_High,Winter_Average_Radation_kWh/m2,Summer_Average_Radation_kWh/m2,Area_Active_Solar_Potential,PercArea_Active_Solar_Potential,Area_PV_Potential,PercArea_PV_Potential,Glass_Area,Opaque_Area,Surface_Area,Floor_Area,S/F_RATIO,Canopy_Area,Handrail_Area,Louvers_Area,
Case_001,Back,Back_001,0,-1.2,0,0,0,0,89.51,58.33,51.58,9.48,38.94,838.63,39.41,0,0,9.72,100,43.74,29.16,72.9,116.64,0.63,0,0,0,
Case_002,Back,Back_002,0,-1.2,0,0,0,0.6,81.17,56.48,55.35,10.27,34.38,679.58,30.09,15.66,56.86,11.88,43.14,43.74,29.16,72.9,116.64,0.63,0,0,17.82,
Case_003,Back,Back_003,0,-1.2,0,0,0,1.2,69.44,50.93,59.24,11.29,29.47,530.18,22.64,31.71,69.91,11.54,25.45,43.74,29.16,72.9,116.64,0.63,0,0,35.64,
Case_004,Back,Back_004,0,-1.2,0,0,0.6,0,88.27,58.33,52.24,9.55,38.21,739.46,31.28,9.72,50,9.72,50,43.74,29.16,72.9,116.64,0.63,9.72,0,0,
Case_005,Back,Back_005,0,-1.2,0,0,0.6,0.6,77.47,56.48,55.99,10.38,33.63,602.87,24.24,24.3,65.22,9.72,26.09,43.74,29.16,72.9,116.64,0.63,9.72,0,17.82,
Case_006,Back,Back_006,0,-1.2,0,0,0.6,1.2,69.14,50.93,59.99,11.45,28.57,455.81,16.98,39.46,71.64,10.99,19.96,43.74,29.16,72.9,116.64,0.63,9.72,0,35.64,
Case_007,Back,Back_007,0,-1.2,0,0,1.2,0,85.19,58.33,54.28,9.7,36.01,631.82,24.13,0,0,19.44,66.67,43.74,29.16,72.9,116.64,0.63,19.44,0,0,
Case_008,Back,Back_008,0,-1.2,0,0,1.2,0.6,73.77,56.48,58.59,10.71,30.71,527.24,20.23,10.21,21.72,19.44,41.38,43.74,29.16,72.9,116.64,0.63,19.44,0,17.82,
Case_009,Back,Back_009,0,-1.2,0,0,1.2,1.2,66.36,49.07,63.2,11.91,24.88,394.01,14.15,18.4,28.39,19.44,30,43.74,29.16,72.9,116.64,0.63,19.44,0,35.64,
Case_010,Back,Back_010,0,-1.2,0,0.6,0,0,80.56,58.33,52.04,9.68,38.28,642.47,30.15,0,0,24.3,100,43.74,29.16,72.9,116.64,0.63,0,14.58,0,
Case_011,Back,Back_011,0,-1.2,0,0.6,0,0.6,73.15,56.48,55.51,10.57,33.92,527.13,23.84,10.67,25.34,26.1,61.97,43.74,29.16,72.9,116.64,0.63,0,14.58,17.82,
Case_012,Back,Back_012,0,-1.2,0,0.6,0,1.2,66.36,50.93,59.26,11.72,29.02,420.44,18.71,28.75,47.96,25.94,43.28,43.74,29.16,72.9,116.64,0.63,0,14.58,35.64,
Case_013,Back,Back_013,0,-1.2,0,0.6,0.6,0,80.25,58.33,52.3,9.76,37.94,548.37,22.39,9.72,28.57,24.3,71.43,43.74,29.16,72.9,116.64,0.63,9.72,14.58,0,
Case_014,Back,Back_014,0,-1.2,0,0.6,0.6,0.6,72.22,56.48,56.03,10.6,33.37,452.44,18.15,18.95,36.56,24.3,46.88,43.74,29.16,72.9,116.64,0.63,9.72,14.58,17.82,
Case_015,Back,Back_015,0,-1.2,0,0.6,0.6,1.2,66.67,50.93,60,11.7,28.31,347.51,13.15,36.46,52.34,25.75,36.97,43.74,29.16,72.9,116.64,0.63,9.72,14.58,35.64,
Case_016,Back,Back_016,0,-1.2,0,0.6,1.2,0,79.01,58.33,54.3,9.92,35.78,446.89,16.13,0,0,34.02,77.78,43.74,29.16,72.9,116.64,0.63,19.44,14.58,0,
Case_017,Back,Back_017,0,-1.2,0,0.6,1.2,0.6,70.68,56.48,58.74,10.84,30.42,378.12,14.24,4.86,7.89,34.02,55.26,43.74,29.16,72.9,116.64,0.63,19.44,14.58,17.82,
Case_018,Back,Back_018,0,-1.2,0,0.6,1.2,1.2,64.81,49.07,63.35,12.13,24.52,286.92,10.4,17.43,21.96,34.02,42.86,43.74,29.16,72.9,116.64,0.63,19.44,14.58,35.64,
Case_019,Back,Back_019,0,-1.2,0,1.2,0,0,78.4,58.33,52.42,9.84,37.74,599.3,27.12,0,0,24.3,100,43.74,29.16,72.9,116.64,0.63,0,14.58,0,
Case_020,Back,Back_020,0,-1.2,0,1.2,0,0.6,70.06,56.48,55.95,10.7,33.35,487.78,21.19,16.36,38.85,24.3,57.69,43.74,29.16,72.9,116.64,0.63,0,14.58,17.82,
